HJD,UT Date,Camera,FWHM,Limit,mag,mag_err,flux(mJy),flux_err,Filter
2458082.75565,2017-11-25.2516244,bj,1.68,17.590,17.543,0.210,0.349,0.067,g
2458082.75687,2017-11-25.2528430,bj,1.61,17.707,>17.707,99.990,0.289,0.060,g
2458083.48981,2017-11-25.9857999,bn,1.44,17.897,17.286,0.125,0.442,0.050,g
2458083.49100,2017-11-25.9870042,bn,1.58,17.953,17.228,0.112,0.467,0.048,g
2458083.49221,2017-11-25.9882077,bn,1.44,17.965,17.151,0.103,0.501,0.047,g
2458083.75507,2017-11-26.2510723,bj,1.63,17.817,17.531,0.168,0.353,0.054,g
2458083.75628,2017-11-26.2522909,bj,1.55,17.685,>17.685,99.990,0.300,0.061,g
2458083.75750,2017-11-26.2535046,bj,1.62,17.665,>17.665,99.990,0.206,0.062,g
2458084.73647,2017-11-27.2325104,bj,1.69,17.708,17.371,0.160,0.409,0.060,g
2458084.73768,2017-11-27.2337216,bj,1.52,17.709,17.238,0.142,0.462,0.060,g
2458084.73890,2017-11-27.2349427,bj,1.60,17.770,17.264,0.137,0.451,0.057,g
2458085.43607,2017-11-27.9321288,bn,1.57,17.517,>17.517,99.990,0.229,0.072,g
2458085.43728,2017-11-27.9333390,bn,1.64,17.550,17.337,0.180,0.422,0.069,g
2458085.43848,2017-11-27.9345398,bn,1.57,17.440,17.214,0.178,0.473,0.077,g
2458085.68664,2017-11-28.1827162,bj,1.67,17.149,>17.149,99.990,0.384,0.100,g
2458085.68787,2017-11-28.1839368,bj,1.77,17.185,>17.185,99.990,0.266,0.097,g
2458085.68908,2017-11-28.1851539,bj,1.68,17.135,16.948,0.184,0.604,0.102,g
2458086.68668,2017-11-29.1827848,br,1.77,16.591,16.574,0.216,0.852,0.168,g
2458086.68788,2017-11-29.1839960,br,1.73,16.293,>16.293,99.990,0.197,0.221,g
2458086.68909,2017-11-29.1852063,br,1.73,16.274,>16.274,99.990,0.741,0.225,g
2458086.80399,2017-11-29.3001005,bf,1.50,16.974,>16.974,99.990,0.620,0.125,V
2458086.80525,2017-11-29.3013693,bf,1.54,16.927,>16.927,99.990,0.537,0.130,V
2458086.80652,2017-11-29.3026328,bf,1.53,16.879,16.803,0.204,0.729,0.136,V
2458087.66798,2017-11-30.1641293,bf,1.41,16.207,>16.207,99.990,1.119,0.252,V
2458087.66924,2017-11-30.1653908,bf,1.44,16.295,>16.295,99.990,0.411,0.233,V
