ra,dec,sigra,sigdec,w1mpro,w1sigmpro,w1snr,w2mpro,w2sigmpro,w2snr,w3mpro,w3sigmpro,w3snr,w4mpro,w4sigmpro,w4snr,cc_flags,ph_qual,sso_flg,qual_frame,qi_fact,saa_sep,moon_masked,mjd,source_id,w1flux,w1sigflux,w2flux,w2sigflux,allwise_cntr,r_allwise
120.8621441,-26.2721546,0.0542,0.056,11.995,0.026,42.3,11.87,0.034,32.4,,,,,,,0000,AA,0,0,0.0,67.616,00,60250.75941249,55792r184-000682,3210.3,75.916,1287.0,39.762,1216025801351012096,0.252292
120.8621938,-26.2721054,0.0578,0.0591,12.083,0.024,45.1,11.899,0.042,25.7,,,,,,,0000,AA,0,5,0.5,80.768,00,60250.82410015,55794r209-000720,2960.0,65.692,1252.6,48.666,1216025801351012096,0.237292
120.8622476,-26.2721508,0.0509,0.0536,12.04,0.021,50.7,11.833,0.038,28.4,,,,,,,0000,AA,0,5,0.5,88.795,00,60250.88878778,55796r184-000718,3077.9,60.739,1331.6,46.908,1216025801351012096,0.102729
120.8620796,-26.2722522,0.0564,0.0621,12.376,0.025,43.4,12.212,0.045,24.3,,,,,,,0000,AA,0,0,0.0,81.192,00,60250.9534755,55798r209-000740,2260.0,52.082,938.45,38.68,1216025801351012096,0.551008
120.8622553,-26.2721349,0.05,0.0506,12.05,0.023,47.1,11.735,0.04,27.1,,,,,,,g000,AA,0,5,0.5,63.868,00,60251.01816317,55800r185-000717,3051.7,64.833,1456.2,53.755,1216025801351012096,0.158783
120.8620707,-26.2721829,0.0622,0.0617,12.224,0.025,43.6,12.025,0.037,29.2,,,,,,,0000,AA,0,0,0.0,27.152,00,60251.14741115,55804r159-000668,2597.7,59.632,1115.1,38.178,1216025801351012096,0.489043
120.8622079,-26.2721627,0.0457,0.0523,12.067,0.022,48.9,11.734,0.031,34.5,,,,,,,0000,AA,0,10,1.0,0.969,00,60251.2767864,55808r184-000676,3002.1,61.379,1458.4,42.253,1216025801351012096,0.044865
120.8622236,-26.2721561,0.0516,0.0549,12.048,0.022,50.2,11.792,0.033,32.9,,,,,,,0000,AA,0,5,0.5,43.722,00,60253.66972112,55882r208-000744,3054.9,60.904,1382.6,41.983,1216025801351012096,0.038652
120.8622304,-26.2721686,0.0492,0.0549,12.043,0.022,49.4,11.716,0.048,22.8,,,,,,,0000,AA,0,10,1.0,59.963,00,60253.73440875,55884r184-000770,3070.5,62.126,1483.1,65.062,1216025801351012096,0.030873
120.8622333,-26.2721277,0.0557,0.0571,12.018,0.024,44.6,11.75,0.037,29.5,,,,,,,0000,AA,0,5,0.5,73.792,00,60253.79896911,55886r208-000677,3140.7,70.446,1436.8,48.755,1216025801351012096,0.145472
120.8622379,-26.2721844,0.0539,0.063,12.097,0.024,44.7,11.909,0.04,27.3,,,,,,,0000,AA,0,5,0.5,83.024,00,60253.86365677,55888r184-000761,2921.7,65.403,1240.9,45.4,1216025801351012096,0.083949
120.8622067,-26.2721275,0.0586,0.0629,12.046,0.028,39.3,11.897,0.04,27.1,,,,,,,0000,AA,0,5,0.5,68.984,00,60253.99303207,55892r184-000829,3060.5,77.798,1254.7,46.3,1216025801351012096,0.148237
120.8623244,-26.2721847,0.0891,0.1028,12.971,0.04,26.9,12.454,0.052,20.8,,,,,,,0000,AA,0,0,0.0,34.351,00,60254.12189806,55896r165-001287,1306.6,48.637,751.54,36.143,1216025801351012096,0.339772
120.8620208,-26.27237,0.0712,0.0703,12.364,0.028,39.0,12.378,0.055,19.9,,,,,,,0000,AA,0,0,0.0,34.304,00,60254.12202537,55896r166-000996,2284.7,58.535,805.5,40.475,1216025801351012096,0.976861
120.8622309,-26.272128,0.0435,0.0526,12.044,0.022,49.6,11.792,0.033,33.1,,,,,,,0000,AA,0,10,1.0,8.346,00,60254.25178266,55900r184-000698,3067.5,61.907,1381.9,41.783,1216025801351012096,0.142516
120.8622004,-26.2721477,0.0481,0.0497,11.85,0.022,49.6,11.656,0.034,32.0,,,,,,,0000,AA,0,10,1.0,31.607,00,60407.66233369,60659r064-000607,3666.2,73.924,1567.4,49.05,1216025801351012096,0.095366
120.8622003,-26.272135,0.046,0.0457,11.883,0.02,53.4,11.632,0.031,35.4,,,,,,,0000,AA,0,10,1.0,-2.389,00,60407.7908177,60663r064-000662,3559.1,66.592,1601.9,45.255,1216025801351012096,0.132098
120.8621983,-26.2721619,0.0438,0.0475,11.861,0.023,46.8,11.543,0.028,39.2,,,,,,,0000,AA,0,5,0.5,-9.507,00,60407.85512341,60665r040-000634,3631.8,77.68,1739.2,44.374,1216025801351012096,0.075521
120.8621863,-26.2721378,0.0476,0.0574,11.886,0.023,48.2,11.657,0.035,30.6,,,,,,,0000,AA,0,5,0.5,-19.595,00,60407.91930171,60667r064-000829,3549.1,73.692,1565.5,51.078,1216025801351012096,0.152871
120.862329,-26.2720967,0.0627,0.0575,12.184,0.025,43.1,12.132,0.041,26.7,,,,,,,0d00,AA,0,0,0.0,-17.464,00,60407.98360742,60669r040-002129,2695.7,62.52,1010.8,37.796,1216025801351012096,0.429704
120.8622062,-26.2721482,0.0442,0.049,11.869,0.022,49.3,11.589,0.034,31.8,,,,,,,0000,AA,0,10,1.0,-2.198,00,60408.04804045,60671r064-000657,3602.3,73.062,1665.9,52.325,1216025801351012096,0.081861
120.8622075,-26.2721347,0.0467,0.0503,11.895,0.024,45.2,11.605,0.03,36.2,,,,,,,0000,AA,0,10,1.0,58.653,00,60408.24083013,60677r040-000626,3519.4,77.875,1641.9,45.373,1216025801351012096,0.122946
120.8621912,-26.2721166,0.0499,0.0522,11.896,0.022,49.8,11.597,0.033,33.3,,,,,,,0000,AA,0,5,0.5,77.381,00,60408.30500848,60679r063-000620,3513.9,70.519,1654.6,49.753,1216025801351012096,0.204246
120.8621983,-26.2721609,0.0486,0.0515,11.849,0.021,52.7,11.615,0.034,31.6,,,,,,,0000,AA,0,10,1.0,92.563,00,60408.36931411,60681r040-000620,3670.7,69.644,1627.7,51.453,1216025801351012096,0.076408
120.8622037,-26.2721485,0.0466,0.0496,11.855,0.02,53.5,11.588,0.03,36.5,,,,,,,0000,AA,0,5,0.5,43.068,00,60408.6264095,60689r040-000624,3650.0,68.212,1667.5,45.7,1216025801351012096,0.086028
120.8622101,-26.272138,0.044,0.0465,11.827,0.019,55.8,11.585,0.027,39.6,,,,,,,0000,AA,0,5,0.5,2.332,00,60408.75489352,60693r040-000635,3747.6,67.192,1673.3,42.208,1216025801351012096,0.108911
